tedlist,Staid,ted_type,lat,long,Citation
nwis_06893300,6893300,sitelist,38.940562,-94.671347,Wieczorek 2012
nwis_06893620,6893620,sitelist,39.111944,-94.472222,Wieczorek 2012
nwis_06893820,6893820,sitelist,39.017361,-94.387278,Wieczorek 2012
nwis_06893890,6893890,sitelist,39.025562,-94.343839,Wieczorek 2012
nwis_06893970,6893970,sitelist,39.088339,-94.343561,Wieczorek 2012
nwis_06894000,6894000,sitelist,39.100561,-94.300504,Wieczorek 2012
nwis_07048600,7048600,sitelist,36.073056,-94.081111,Wieczorek 2012
nwis_07061270,7061270,sitelist,37.552556,-90.842444,Wieczorek 2012
nwis_07106000,7106000,sitelist,38.601665,-104.67025,Wieczorek 2012
nwis_07109500,7109500,sitelist,38.248058,-104.399136,Wieczorek 2012
nwis_07143672,7143672,sitelist,38.028622,-97.540597,Wieczorek 2012
nwis_07144100,7144100,sitelist,37.883067,-97.424486,Wieczorek 2012
nwis_07177500,7177500,sitelist,36.278425,-95.954162,Wieczorek 2012
nwis_07178200,7178200,sitelist,36.223151,-95.819432,Wieczorek 2012
nwis_071912213,71912213,sitelist,36.322581,-94.685224,Wieczorek 2012
nwis_07191222,7191222,sitelist,36.355359,-94.776339,Wieczorek 2012
nwis_07198000,7198000,sitelist,35.573151,-95.068846,Wieczorek 2012
nwis_07239450,7239450,sitelist,35.616993,-98.065332,Wieczorek 2012
nwis_07241000,7241000,sitelist,35.478668,-97.663375,Wieczorek 2012
nwis_07241520,7241520,sitelist,35.565615,-97.367258,Wieczorek 2012
nwis_07241550,7241550,sitelist,35.500341,-97.193919,Wieczorek 2012
nwis_072632966,72632966,sitelist,34.875278,-92.653889,Wieczorek 2012
nwis_07332620,7332620,sitelist,33.682222,-95.984444,Wieczorek 2012
nwis_07332622,7332622,sitelist,33.744167,-95.961111,Wieczorek 2012
nwis_08048000,8048000,sitelist,32.760963,-97.332517,Wieczorek 2012
nwis_08049500,8049500,sitelist,32.7625,-96.994444,Wieczorek 2012
nwis_08052700,8052700,sitelist,33.28345,-96.892781,Wieczorek 2012
nwis_08057000,8057000,sitelist,32.774852,-96.821946,Wieczorek 2012
nwis_08057410,8057410,sitelist,32.707631,-96.735832,Wieczorek 2012
nwis_08062500,8062500,sitelist,32.42653,-96.463042,Wieczorek 2012
nwis_08065350,8065350,sitelist,31.338513,-95.656341,Wieczorek 2012
nwis_08068000,8068000,sitelist,30.244657,-95.457162,Wieczorek 2012
nwis_08068500,8068500,sitelist,30.110495,-95.436328,Wieczorek 2012
nwis_08070200,8070200,sitelist,30.145493,-95.124376,Wieczorek 2012
nwis_08180700,8180700,sitelist,29.334958,-98.689744,Wieczorek 2012
nwis_08181500,8181500,sitelist,29.264128,-98.490849,Wieczorek 2012
nwis_08181800,8181800,sitelist,29.222185,-98.355846,Wieczorek 2012
nwis_08317400,8317400,sitelist,35.618,-106.323944,Wieczorek 2012
nwis_08447300,8447300,sitelist,30.314,-101.741556,Wieczorek 2012
nwis_09041400,9041400,sitelist,40.108596,-106.413921,Wieczorek 2012
nwis_09326500,9326500,sitelist,39.104137,-111.216559,Wieczorek 2012
nwis_09406000,9406000,sitelist,37.204149,-113.180779,Wieczorek 2012
nwis_10133800,10133800,sitelist,40.75967,-111.564091,Wieczorek 2012
nwis_10133980,10133980,sitelist,40.87078,-111.585204,Wieczorek 2012
nwis_11044000,11044000,sitelist,33.473918,-117.142254,Wieczorek 2012
nwis_11126000,11126000,sitelist,34.589155,-119.988753,Wieczorek 2012
nwis_11128500,11128500,sitelist,34.584987,-120.144593,Wieczorek 2012
nwis_11462500,11462500,sitelist,39.026563,-123.130559,Wieczorek 2012
nwis_11463000,11463000,sitelist,38.879348,-123.053612,Wieczorek 2012
nwis_11463980,11463980,sitelist,38.632965,-122.855549,Wieczorek 2012
nwis_11467000,11467000,sitelist,38.508523,-122.927774,Wieczorek 2012
nwis_12100490,12100490,sitelist,47.274823,-122.207897,Wieczorek 2012
nwis_13013650,13013650,sitelist,43.654056,-110.715472,Wieczorek 2012
nwis_13207500,13207500,sitelist,43.731944,-116.304167,Wieczorek 2012
nwis_13213000,13213000,sitelist,43.781667,-116.972778,Wieczorek 2012
nwis_13213100,13213100,sitelist,43.876111,-116.9825,Wieczorek 2012
nwis_14151000,14151000,sitelist,43.944293,-122.774794,Wieczorek 2012
nwis_14162500,14162500,sitelist,44.124849,-122.47062,Wieczorek 2012
nwis_14182500,14182500,sitelist,44.791511,-122.578974,Wieczorek 2012
nwis_14206950,14206950,sitelist,45.403452,-122.754819,Wieczorek 2012
nwis_14210000,14210000,sitelist,45.299843,-122.353975,Wieczorek 2012
nwis_14211010,14211010,sitelist,45.379287,-122.577313,Wieczorek 2012
nwis_14211720,14211720,sitelist,45.5175,-122.669167,Wieczorek 2012
nwis_14301500,14301500,sitelist,45.47594,-123.725121,Wieczorek 2012
nwis_14302480,14302480,sitelist,45.446218,-123.710397,Wieczorek 2012
nwis_01193050,1193050,sitelist,41.541766,-72.553145,STATSGO
nwis_01382210,1382210,sitelist,41.039722,-74.501667,STATSGO
nwis_01487150,1487150,sitelist,38.691472,-75.634889,STATSGO
nwis_01548303,1548303,sitelist,41.784794,-77.401923,STATSGO
nwis_02042222,2042222,bonussites,37.292361,-77.078722,STATSGO
nwis_0209303205,209303205,bonussites,34.748889,-77.437778,STATSGO
nwis_02110400,2110400,sitelist,33.953505,-78.71974,STATSGO
nwis_02110550,2110550,sitelist,33.850833,-78.897222,STATSGO
nwis_0212378405,212378405,sitelist,35.200667,-80.061806,STATSGO
nwis_02198920,2198920,bonussites,32.166036,-81.153724,STATSGO
nwis_02198950,2198950,bonussites,32.165556,-81.138333,STATSGO
nwis_021989773,21989773,bonussites,32.081041,-81.081223,STATSGO
nwis_021989792,21989792,bonussites,32.165833,-81.13,STATSGO
