site_name	tsteps_min	K600_med	Qnodemin	Qnodemax
nwis_13013650	15,60	  13.2139	 2.9	 6.1
nwis_13173600	15	   0.4423	 4.7	 5.9
nwis_01649190	5,15	  18.0368	-5.7	 2.9
nwis_13206400	15	  10.5892	-1.7	 0.3
nwis_13207500	15	  27.4481	-6.7	 0.7
nwis_13213000	15	   4.9609	 1.9	 5.3
nwis_13213100	15	   0.6538	 4.9	 6.1
nwis_14182500	15,30	  14.6070	-0.5	 4.5
nwis_14202650	15	   0.9894	-2.7	 2.1
nwis_14206950	30,60	   3.4465	-3.7	 3.5
nwis_14210000	30	   8.0465	 2.7	 6.5
nwis_14211010	15,30	   4.5417	 2.7	 7.3
nwis_14211720	30	   2.2916	 6.1	 8.1
nwis_01649500	5,15	   8.0248	-2.1	 4.7
nwis_14301500	15	   9.9128	 0.1	 5.3
nwis_14302480	15,30	  15.0544	 0.1	 5.3
nwis_15298040	15	   3.1477	 3.1	 5.5
nwis_385608094380300	15	   1.9331	-1.7	 4.1
nwis_411955088280601	15	   1.4743	-1.3	 1.3
nwis_01650800	5	   9.5069	-4.5	 1.7
nwis_0165389205	15	   5.4068	-6.3	 2.5
nwis_01654000	15	   5.5048	-3.5	 2.7
nwis_01654500	15	   9.2152	-7.3	 2.1
nwis_01656903	15	   5.8214	-5.1	 2.3
nwis_01658000	15	   9.6122	-4.9	 3.3
nwis_01382210	15	   5.1318	-2.5	 3.7
nwis_0166818623	15	   7.3285	-5.5	 2.3
nwis_0166818985	15	  11.5986	-3.7	 3.5
nwis_01673000	15	   1.6544	 0.5	 6.3
nwis_02035000	15	   1.4619	 3.3	 7.5
nwis_0209303205		   1.2717	 3.3	 5.5
nwis_02101726	15	  10.2979	-5.5	 4.5
nwis_02110400	15	   1.0899	-2.5	 4.5
nwis_02110500	15	   1.4489	-2.3	 6.7
nwis_02110550	15	  -0.0904	 1.5	 6.5
nwis_01388000	60	  12.8650	-0.9	 6.1
nwis_02110701	15	   2.1814	-1.7	 3.7
nwis_02110704	15	  -0.3086	 2.7	 6.3
nwis_0212378405	5,15	  10.4195	 0.7	 7.3
nwis_02135000	15	   1.9478	 1.7	 7.3
nwis_02148315	60	   2.3069	 3.1	 5.7
nwis_02160700	60	   5.1716	-0.3	 5.7
nwis_02162035	5,15	   8.0002	 2.3	 7.3
nwis_02168504	60	  15.4773	 1.7	 6.3
nwis_02169000	15,60	  -0.1949	 1.9	 6.9
nwis_02171645	15,60	   3.3531	 0.5	 6.7
nwis_01400500	15,30,60	   3.8553	 1.1	 6.5
nwis_02198920		   0.7440	 6.5	 7.1
nwis_021989773		  -0.6130	 7.3	 7.5
nwis_02203655	15	   5.9440	-2.9	 3.7
nwis_02203700	15	   4.9203	-4.1	 2.5
nwis_02203863	15	  12.9459	-3.9	 1.7
nwis_02203900	15	   7.5399	-1.5	 5.3
nwis_02203950	15	   9.5417	-3.9	 3.1
nwis_02203960	15	  18.2518	-1.5	 3.3
nwis_01408500	30,60	   6.8591	 0.7	 3.7
nwis_02204037	15	  10.8263	-3.5	 2.7
nwis_02207135	15	  14.3590	-4.9	 0.7
nwis_02207160	15	  10.0372	-3.7	 2.9
nwis_02208450	15	   2.6529	-2.1	 4.9
nwis_02208493	15	   4.5672	-3.1	 3.1
nwis_02217643	15	  16.1085	-4.1	 0.5
nwis_02234000	15,30	   0.5545	 0.9	 5.5
nwis_02234500	15,30	   0.2757	 2.5	 5.5
nwis_01454700	15	  16.1971	 2.7	 4.1
nwis_02235500	15	  24.3462	 1.1	 1.7
nwis_02236000	15,30	   1.1664	 2.1	 5.5
nwis_02236125	15,30,60	   1.9815	 3.5	 6.3
nwis_02244040	15	   0.4808	 5.3	 6.7
nwis_02245260	15	   0.3256	 0.9	 4.7
nwis_02264000	15,60	   9.6480	-8.3	 0.7
nwis_02264100	15,30	   1.7988	-5.3	 2.5
nwis_02266200	15,30,60	   5.5377	-8.1	 0.9
nwis_02266300	15,60	   5.2105	-4.3	 3.1
nwis_02319302	15	 870.4467	-0.5	 1.9
nwis_01463500	60	   2.1326	 4.1	 8.3
nwis_02320250	15	   0.3004	 0.9	 1.7
nwis_02322688	15	1965.9507	 0.5	 1.3
nwis_02323502	15	  11.3277	 0.1	 1.3
nwis_02323566	15	   4.5499	 0.9	 2.1
nwis_02336120	15	   4.6911	-3.9	 4.9
nwis_02336152	15	   6.6206	-6.1	 2.1
nwis_023362095	15	  10.3797	-5.3	 1.5
nwis_02336240	15	   8.1968	-5.3	 3.7
nwis_02336300	15	   5.2608	-2.5	 4.5
nwis_02336313	15	  11.3085	-6.5	 1.1
nwis_01484085		       NA	 0.0	 0.0
nwis_04085427		       NA	 0.0	 0.0
nwis_04087170		       NA	 0.0	 0.0
nwis_04092750		       NA	 0.0	 0.0
nwis_02042222		       NA	 0.0	 0.0
nwis_11313433		       NA	 0.0	 0.0
nwis_11455315		       NA	 0.0	 0.0
nwis_11455350		       NA	 0.0	 0.0
nwis_02198950		       NA	 0.0	 0.0
nwis_021989792		       NA	 0.0	 0.0
nwis_02231254		       NA	 0.0	 0.0
nwis_02231291		       NA	 0.0	 0.0
nwis_01548303	15	  42.5158	-5.5	 1.5
nwis_02397530	15	   1.4632	 2.7	 7.5
nwis_07241550	30	   5.1135	 0.1	 5.7
nwis_03292480	15	  11.6135	-6.3	 2.3
nwis_03293000	15	   7.2393	-4.3	 3.9
nwis_03298000	15	   2.0835	-3.5	 5.7
nwis_03298200	15	   1.4978	-1.3	 5.9
nwis_05418400	15	   4.4025	 1.5	 5.5
nwis_05420500	15	   1.3852	 6.5	 8.5
nwis_07177500	30	   1.3562	-0.3	 6.7
nwis_07191222	30	  11.1722	-8.3	 5.3
