"site","model_name","resolution","max_key_Rhat","is_converged","confidence"
"nwis_03297900","nwis_03297900-184-170214 1.0.1 bayes_15min","15min",1.11134718613091,TRUE,NA
"nwis_03298000","nwis_03298000-185-170214 1.0.1 bayes_15min","15min",1.01757563250048,TRUE,NA
"nwis_03298135","nwis_03298135-186-170214 1.0.1 bayes_15min","15min",1.10703525680605,TRUE,NA
"nwis_03298150","nwis_03298150-187-170214 1.0.1 bayes_15min","15min",1.00782315091418,TRUE,NA
"nwis_03298200","nwis_03298200-188-170214 1.0.1 bayes_15min","15min",NA,NA,NA
"nwis_03298250","nwis_03298250-189-170214 1.0.1 bayes_15min","15min",1.01947892376514,TRUE,NA
"nwis_03298300","nwis_03298300-190-170214 1.0.1 bayes_15min","15min",1.01082398015132,TRUE,NA
"nwis_03301900","nwis_03301900-191-170214 1.0.1 bayes_15min","15min",1.00603429232571,TRUE,NA
"nwis_03301940","nwis_03301940-192-170214 1.0.1 bayes_15min","15min",1.01167488122344,TRUE,NA
"nwis_03302000","nwis_03302000-193-170214 1.0.1 bayes_15min","15min",1.11822074887501,TRUE,NA
"nwis_03302030","nwis_03302030-194-170214 1.0.1 bayes_15min","15min",1.11252448333559,TRUE,NA
"nwis_03302050","nwis_03302050-195-170214 1.0.1 bayes_15min","15min",1.02355656798081,TRUE,NA
"nwis_03321500","nwis_03321500-196-170214 1.0.1 bayes_15min","15min",2.06233683172672,FALSE,NA
"nwis_03339000","nwis_03339000-197-170214 1.0.1 bayes_15min","15min",1.02209785779307,TRUE,NA
"nwis_03346500","nwis_03346500-198-170214 1.0.1 bayes_15min","15min",2.41947007102828,FALSE,NA
"nwis_03353200","nwis_03353200-199-170214 1.0.1 bayes_15min","15min",1.0198888001014,TRUE,NA
"nwis_03353420","nwis_03353420-200-170214 1.0.1 bayes_15min","15min",1.03810565068782,TRUE,NA
"nwis_03374100","nwis_03374100-201-170214 1.0.1 bayes_15min","15min",1.00600004303801,TRUE,NA
"nwis_03374100","nwis_03374100-202-170214 1.0.1 bayes_60min","60min",1.20063049471291,FALSE,NA
"nwis_03374100","Overall",NA,NA,NA,NA
"nwis_03408500","nwis_03408500-203-170214 1.0.1 bayes_30min","30min",1.02684123553144,TRUE,NA
"nwis_03409500","nwis_03409500-204-170214 1.0.1 bayes_30min","30min",1.04889291113116,TRUE,NA
"nwis_03430200","nwis_03430200-205-170214 1.0.1 bayes_30min","30min",1.15299997764321,TRUE,NA
"nwis_03460795","nwis_03460795-206-170214 1.0.1 bayes_15min","15min",1.17434744841582,TRUE,NA
"nwis_03512000","nwis_03512000-207-170214 1.0.1 bayes_15min","15min",1.016898786936,TRUE,NA
"nwis_03538830","nwis_03538830-208-170214 1.0.1 bayes_30min","30min",1.05838494465839,TRUE,NA
"nwis_03539600","nwis_03539600-209-170214 1.0.1 bayes_30min","30min",1.95069812914283,FALSE,NA
"nwis_03539778","nwis_03539778-210-170214 1.0.1 bayes_15min","15min",1.02843044566203,TRUE,NA
"nwis_03539778","nwis_03539778-211-170214 1.0.1 bayes_30min","30min",1.03577579672355,TRUE,NA
"nwis_03539778","Overall",NA,NA,NA,NA
"nwis_03597860","nwis_03597860-212-170214 1.0.1 bayes_30min","30min",4.77664459880828,FALSE,NA
"nwis_03597860","nwis_03597860-213-170214 1.0.1 bayes_60min","60min",9.57334079066469,FALSE,NA
"nwis_03597860","Overall",NA,NA,NA,NA
"nwis_04024000","nwis_04024000-214-170214 1.0.1 bayes_60min","60min",1.34246278616737,FALSE,NA
"nwis_04027000","nwis_04027000-215-170214 1.0.1 bayes_15min","15min",1.01229926864223,TRUE,NA
"nwis_04040000","nwis_04040000-216-170214 1.0.1 bayes_15min","15min",1.04092097049393,TRUE,NA
"nwis_04059500","nwis_04059500-217-170214 1.0.1 bayes_15min","15min",1.00546888159129,TRUE,NA
"nwis_04067500","nwis_04067500-218-170214 1.0.1 bayes_5min","5min",1.00364785629881,TRUE,NA
"nwis_04067500","nwis_04067500-219-170214 1.0.1 bayes_15min","15min",1.06883696739194,TRUE,NA
"nwis_04067500","Overall",NA,NA,NA,NA
"nwis_04085108","nwis_04085108-220-170214 1.0.1 bayes_5min","5min",1.01209912249143,TRUE,NA
"nwis_04085108","nwis_04085108-221-170214 1.0.1 bayes_15min","15min",1.01946935546036,TRUE,NA
"nwis_04085108","Overall",NA,NA,NA,NA
"nwis_040851385","nwis_040851385-222-170214 1.0.1 bayes_5min","5min",1.34529802408105,FALSE,NA
"nwis_04087050","nwis_04087050-223-170214 1.0.1 bayes_5min","5min",1.0116747395041,TRUE,NA
"nwis_04087119","nwis_04087119-224-170214 1.0.1 bayes_5min","5min",1.0186792713199,TRUE,NA
"nwis_04087119","nwis_04087119-225-170214 1.0.1 bayes_15min","15min",1.01319896050937,TRUE,NA
"nwis_04087119","Overall",NA,NA,NA,NA
"nwis_040871488","nwis_040871488-226-170214 1.0.1 bayes_5min","5min",1.01070307636653,TRUE,NA
"nwis_040871488","nwis_040871488-227-170214 1.0.1 bayes_60min","60min",1.94135660089905,FALSE,NA
"nwis_040871488","Overall",NA,NA,NA,NA
"nwis_04095090","nwis_04095090-228-170214 1.0.1 bayes_15min","15min",1.74719097681931,FALSE,NA
"nwis_04101500","nwis_04101500-229-170214 1.0.1 bayes_15min","15min",1.16233122498444,TRUE,NA
"nwis_04108660","nwis_04108660-230-170214 1.0.1 bayes_15min","15min",1.86763416711765,FALSE,NA
"nwis_04119400","nwis_04119400-231-170214 1.0.1 bayes_12min","12min",1.07805911270683,TRUE,NA
"nwis_04121944","nwis_04121944-232-170214 1.0.1 bayes_15min","15min",1.0137949512572,TRUE,NA
"nwis_04121944","nwis_04121944-233-170214 1.0.1 bayes_60min","60min",5.53039833827879,FALSE,NA
"nwis_04121944","Overall",NA,NA,NA,NA
"nwis_04121970","nwis_04121970-234-170214 1.0.1 bayes_15min","15min",1.05867810222169,TRUE,NA
"nwis_04121970","nwis_04121970-235-170214 1.0.1 bayes_60min","60min",2.57049992054489,FALSE,NA
"nwis_04121970","Overall",NA,NA,NA,NA
"nwis_04124000","nwis_04124000-236-170214 1.0.1 bayes_15min","15min",1.47589169856995,FALSE,NA
"nwis_04124000","nwis_04124000-237-170214 1.0.1 bayes_60min","60min",1.79243985886597,FALSE,NA
"nwis_04124000","Overall",NA,NA,NA,NA
"nwis_04124200","nwis_04124200-238-170214 1.0.1 bayes_15min","15min",1.00720607801913,TRUE,NA
